,Lat,Lon,Category,Date,Time
53,40.7675801,-73.9108899,Gr. Larceny,2022-06-23,5PM
54,40.7674098,-73.8143599,Robbery,2022-01-27,2PM
55,40.7673602,-73.9176900,G.L.A.,2022-07-25,12PM
56,40.7679158,-73.9857225,Burglary,2022-04-19,9AM
57,40.7679898,-73.8268402,Fel. Assault,2022-03-30,10AM
58,40.7679603,-73.9662601,Gr. Larceny,2022-09-26,7PM
59,40.7679639,-73.8029480,Robbery,2022-02-11,2AM
60,40.7679898,-73.9957899,G.L.A.,2022-08-03,11AM
61,40.7679944,-73.7833893,Gr. Larceny,2022-05-06,3PM
62,40.7681702,-73.8242103,Gr. Larceny,2022-08-13,4PM
63,40.7683801,-73.8676199,Rape,2022-09-30,1PM
64,40.7682198,-73.8751803,Gr. Larceny,2022-07-25,9PM
65,40.7691326,-73.9651732,Fel. Assault,2022-07-27,10AM
66,40.7692203,-73.9673102,Gr. Larceny,2022-03-27,2PM
67,40.7692203,-73.9847700,Robbery,2022-09-24,1PM
68,40.7688998,-73.7680100,Gr. Larceny,2022-07-09,10AM
69,40.7690097,-73.9119300,Gr. Larceny,2022-09-26,12PM
70,40.7691197,-73.7317103,Gr. Larceny,2022-05-17,12PM
71,40.7691103,-73.9631601,Gr. Larceny,2022-09-23,9PM
72,40.7685377,-73.7866917,Gr. Larceny,2022-08-12,5PM
73,40.7685481,-73.9089994,Robbery,2022-06-18,10AM
74,40.7685001,-73.8724800,Fel. Assault,2022-04-21,9PM
75,40.7684800,-73.8094897,Burglary,2022-07-15,7PM
76,40.7684374,-73.8734006,Gr. Larceny,2022-09-03,3PM
77,40.7688733,-73.8686264,Gr. Larceny,2022-07-14,5PM
78,40.7688300,-73.9504297,Fel. Assault,2022-05-25,10PM
79,40.7685900,-73.9658001,G.L.A.,2022-07-19,6PM
80,40.7685699,-73.8934100,Robbery,2022-08-13,9PM
81,40.7686503,-73.7329401,Gr. Larceny,2022-03-04,12PM
82,40.7665703,-73.8314402,Gr. Larceny,2022-09-22,10AM
83,40.7665602,-73.9629301,Gr. Larceny,2022-07-06,2PM
84,40.7664664,-73.8183500,Fel. Assault,2022-05-13,9AM
85,40.7664525,-73.9084785,Gr. Larceny,2022-01-04,10AM
86,40.7662723,-73.7400689,Robbery,2022-08-15,3AM
87,40.7664301,-73.7886301,Burglary,2022-08-03,10AM
88,40.7671000,-73.9817197,Gr. Larceny,2022-08-26,9AM
89,40.7669599,-73.8846003,G.L.A.,2022-07-25,9PM
90,40.7669827,-73.9168883,Gr. Larceny,2022-09-17,1AM
91,40.7671292,-73.9564902,Gr. Larceny,2022-06-24,9PM
92,40.7671862,-73.9328912,Gr. Larceny,2022-07-23,9AM
93,40.7671899,-73.9899601,Robbery,2022-06-13,10PM
94,40.7672109,-73.7860155,Gr. Larceny,2022-07-21,8PM
95,40.7667198,-73.9691301,Gr. Larceny,2022-09-26,4PM
96,40.7668649,-73.7626727,Burglary,2022-04-09,6PM
97,40.7654699,-73.9976198,Fel. Assault,2022-08-03,12PM
98,40.7655821,-73.9036980,G.L.A.,2022-08-08,2PM
99,40.7653753,-73.9296492,Gr. Larceny,2022-05-24,3PM
100,40.7653608,-73.9658991,Gr. Larceny,2022-04-12,6AM
101,40.7653599,-73.8174002,Gr. Larceny,2022-09-18,7PM
102,40.7658026,-73.8079504,Gr. Larceny,2022-09-16,11AM
103,40.7657662,-73.8640220,Gr. Larceny,2022-08-16,7AM
104,40.7660399,-73.8700801,Gr. Larceny,2022-07-21,4AM
105,40.7660586,-73.9308710,Robbery,2022-09-29,3AM
106,40.7660499,-73.8758603,Gr. Larceny,2022-05-31,8PM
107,40.7661347,-73.9197845,Gr. Larceny,2022-07-25,8AM
108,40.7662303,-73.9153001,Robbery,2022-06-23,12AM
109,40.7662203,-73.8738709,Rape,2022-08-11,6PM
110,40.7730243,-73.9521864,Gr. Larceny,2022-06-06,4PM
111,40.7731102,-73.8278300,Burglary,2022-09-15,3AM
112,40.7731202,-73.7875499,Gr. Larceny,2022-07-25,7PM
113,40.7731102,-73.9110401,Robbery,2022-09-24,8PM
114,40.7726998,-73.8339501,Robbery,2022-08-05,7PM
115,40.7725898,-73.9103501,Gr. Larceny,2022-04-08,9AM
116,40.7728098,-73.7423097,Gr. Larceny,2022-06-17,2PM
117,40.7724001,-73.8912702,Gr. Larceny,2022-01-20,9AM
118,40.7724001,-73.9787297,Gr. Larceny,2022-09-20,3PM
119,40.7724554,-73.9670377,Gr. Larceny,2022-07-19,12AM
120,40.7722923,-73.7805600,Gr. Larceny,2022-03-21,5PM
121,40.7722901,-73.9862399,Gr. Larceny,2022-09-27,3PM
122,40.7719054,-73.8952218,G.L.A.,2022-03-15,7AM
123,40.7720903,-73.9096501,Gr. Larceny,2022-03-27,10PM
124,40.7722817,-73.9153996,Robbery,2022-04-18,4AM
125,40.7722762,-73.7517448,Gr. Larceny,2022-06-03,5PM
126,40.7735099,-73.8999078,G.L.A.,2022-06-13,9AM
127,40.7734413,-73.7838842,Gr. Larceny,2022-07-14,10PM
128,40.7736029,-73.9577938,Gr. Larceny,2022-09-14,3PM
129,40.7733797,-73.9067801,G.L.A.,2022-06-14,5PM
130,40.7737003,-73.8068799,Gr. Larceny,2022-08-13,3PM
131,40.7745265,-73.7537118,Robbery,2022-06-11,3AM
132,40.7746598,-73.9540903,Rape,2022-09-25,3PM
133,40.7744499,-73.9184497,Burglary,2022-06-21,5AM
134,40.7741603,-73.9848800,Robbery,2022-09-22,10PM
135,40.7741898,-73.8129799,Burglary,2022-01-01,12PM
136,40.7740898,-73.9269101,Gr. Larceny,2022-01-12,3PM
137,40.7742400,-73.7452501,Gr. Larceny,2022-07-19,11PM
138,40.7742997,-73.7398401,G.L.A.,2022-03-14,2AM
139,40.7710201,-73.9536497,Robbery,2022-09-14,3AM
140,40.7710402,-73.9871599,Robbery,2022-08-18,11AM
141,40.7710797,-73.9475899,Gr. Larceny,2022-07-29,12PM
142,40.7710697,-73.9596498,Gr. Larceny,2022-08-30,2PM
143,40.7710999,-73.9834101,Gr. Larceny,2022-09-06,12PM
144,40.7706516,-73.8265624,Burglary,2022-02-14,4AM
145,40.7705500,-73.8354803,Burglary,2022-09-05,4PM
146,40.7705902,-73.7413998,G.L.A.,2022-10-01,10AM
147,40.7712702,-73.7891002,Burglary,2022-03-05,9PM
148,40.7715102,-73.9182398,Gr. Larceny,2022-03-14,10AM
149,40.7713801,-73.9564801,Robbery,2022-08-05,7PM
150,40.7716698,-73.9866999,Rape,2022-07-01,6PM
151,40.7717402,-73.9612497,Gr. Larceny,2022-09-23,3PM
152,40.7717235,-73.9829443,Gr. Larceny,2022-06-25,7PM
153,40.7717798,-73.9654300,Gr. Larceny,2022-09-29,10PM
154,40.7717798,-73.9791897,Gr. Larceny,2022-03-26,5AM
155,40.7703301,-73.9024597,G.L.A.,2022-08-07,9PM
156,40.7703314,-73.9024605,Gr. Larceny,2022-09-22,3PM
157,40.7703099,-73.9189902,Gr. Larceny,2022-08-02,9AM
158,40.7705179,-73.9684487,Gr. Larceny,2022-08-02,9PM
159,40.7704645,-73.9644253,Gr. Larceny,2022-08-04,2PM
160,40.7699297,-73.9175599,Gr. Larceny,2022-06-22,1PM
161,40.7700303,-73.9121700,Fel. Assault,2022-08-02,4PM
162,40.7698530,-73.9167948,Gr. Larceny,2022-02-02,4PM
163,40.7698499,-73.9668502,Gr. Larceny,2022-09-21,2PM
164,40.7697394,-73.9627052,Gr. Larceny,2022-09-21,10AM
165,40.7696997,-73.9327399,Gr. Larceny,2022-05-10,3PM
166,40.7696897,-73.9820000,Robbery,2022-09-13,10PM
167,40.7696199,-73.7494203,Fel. Assault,2022-07-16,7PM
168,40.7694503,-73.7901798,Fel. Assault,2022-07-11,1PM
169,40.7761712,-73.7897318,Burglary,2022-01-21,1AM
170,40.7763582,-73.9044413,Gr. Larceny,2022-09-03,2PM
171,40.7763798,-73.9236297,G.L.A.,2022-08-19,4PM
172,40.7763201,-73.9621302,Gr. Larceny,2022-09-26,6PM
173,40.7769001,-73.8462098,Gr. Larceny,2022-05-06,6PM
174,40.7770503,-73.9819899,Robbery,2022-08-14,10PM
175,40.7776800,-73.9632299,Gr. Larceny,2022-08-09,2AM
176,40.7776332,-73.9611620,Robbery,2022-08-03,5PM
177,40.7775003,-73.9549499,Gr. Larceny,2022-07-25,8PM
178,40.7761101,-73.9797498,Robbery,2022-09-28,7PM
179,40.7760508,-73.9835058,Gr. Larceny,2022-08-30,12AM
180,40.7760298,-73.9152297,Gr. Larceny,2022-08-13,12PM
181,40.7756608,-73.8453550,Gr. Larceny,2022-03-20,1PM
182,40.7757300,-73.7798499,Burglary,2022-01-28,10PM
183,40.7755413,-73.9822807,Robbery,2022-08-08,2AM
184,40.7754202,-73.9839701,Gr. Larceny,2022-09-14,9PM
185,40.7754950,-73.9902697,Robbery,2022-02-15,10PM
186,40.7747891,-73.7478891,Burglary,2022-04-21,9PM
187,40.7748049,-73.9844213,Gr. Larceny,2022-07-12,9PM
188,40.7749602,-73.9589001,Gr. Larceny,2022-09-01,4PM
189,40.7753909,-73.9096623,G.L.A.,2022-08-23,11AM
190,40.7753203,-73.7751903,Burglary,2022-08-13,4AM
191,40.7749947,-73.9909259,Robbery,2022-09-17,6AM
192,40.7779301,-73.9821502,Robbery,2022-10-02,11PM
193,40.7786251,-73.8388481,G.L.A.,2022-04-21,11AM
194,40.7786165,-73.8461163,Robbery,2022-04-09,1AM
195,40.7785497,-73.9512498,Gr. Larceny,2022-09-06,6PM
196,40.7782024,-73.9886946,Gr. Larceny,2022-09-09,10PM
197,40.7788893,-73.8145271,Gr. Larceny,2022-05-12,4PM
198,40.7789499,-73.9623082,Gr. Larceny,2022-01-25,2PM
199,40.7787301,-73.9778298,Gr. Larceny,2022-07-09,8PM
200,40.7788015,-73.9479701,G.L.A.,2022-09-19,9AM
201,40.7793403,-73.7755799,Gr. Larceny,2022-07-01,5PM
202,40.7791398,-73.9447702,Gr. Larceny,2022-07-29,12PM
203,40.7814297,-73.9541801,Burglary,2022-06-16,6PM
204,40.7811199,-73.9835101,Gr. Larceny,2022-08-25,9PM
205,40.7811997,-73.9797503,Gr. Larceny,2022-04-13,9AM
206,40.7808491,-73.8459947,Robbery,2022-08-10,12PM
207,40.7807553,-73.9525767,Gr. Larceny,2022-08-29,8PM
208,40.7806901,-73.9465901,Robbery,2022-09-12,2PM
209,40.7806175,-73.8237779,Burglary,2022-08-16,11PM
210,40.7798103,-73.9503399,Robbery,2022-08-14,9PM
211,40.7798150,-73.9844796,Burglary,2022-04-19,11PM
212,40.7795930,-73.9618352,G.L.A.,2022-07-19,4PM
213,40.7801302,-73.9530301,Gr. Larceny,2022-09-29,7AM
214,40.7800101,-73.7701900,Gr. Larceny,2022-08-02,4PM
215,40.7801503,-73.8460301,Gr. Larceny,2022-01-02,2PM
216,40.7802069,-73.9875725,Gr. Larceny,2022-04-13,8AM
217,40.7603058,-73.9949895,Gr. Larceny,2022-07-23,8PM
218,40.7604648,-73.8265382,Gr. Larceny,2022-09-07,5PM
219,40.7604055,-73.9758198,Gr. Larceny,2022-09-29,12PM
220,40.7604147,-73.9874688,Robbery,2022-08-21,5AM
221,40.7601936,-73.9147069,Robbery,2022-03-19,5PM
222,40.7601799,-73.8439701,Fel. Assault,2022-04-27,7PM
223,40.7601137,-73.8776665,G.L.A.,2022-07-15,2PM
224,40.7601497,-73.9987899,Fel. Assault,2022-07-26,5AM
225,40.7602798,-73.7693699,Gr. Larceny,2022-08-20,6PM
226,40.7602798,-73.8304800,Robbery,2022-07-29,1AM
227,40.7602538,-73.9696224,Gr. Larceny,2022-04-07,11AM
228,40.7602695,-73.8039965,Gr. Larceny,2022-08-20,12AM
229,40.7605098,-73.7675299,G.L.A.,2022-03-12,2PM
230,40.7606097,-73.8058399,Gr. Larceny,2022-01-02,4PM
231,40.7607599,-73.7725503,Burglary,2022-05-26,3PM
232,40.7606538,-73.8919781,Burglary,2022-07-28,5PM
233,40.7606701,-73.7665998,Rape,2022-08-23,9AM
234,40.7608297,-73.8307502,Gr. Larceny,2022-08-23,3AM
235,40.7598500,-73.7845498,Gr. Larceny,2022-06-19,7AM
236,40.7597815,-73.9879199,Gr. Larceny,2022-04-18,10PM
237,40.7598101,-73.9138937,Robbery,2022-02-14,8PM
238,40.7599789,-73.9647968,Gr. Larceny,2022-03-28,3PM
239,40.7600103,-73.8786002,Fel. Assault,2022-05-29,1AM
240,40.7601102,-73.8776701,Rape,2022-06-30,4PM
241,40.7596258,-73.9954606,Robbery,2022-09-01,6PM
242,40.7596959,-73.9780338,Gr. Larceny,2022-08-24,10PM
243,40.7596897,-73.9780397,Robbery,2022-09-30,11AM
244,40.7596602,-73.7720400,Gr. Larceny,2022-03-15,2PM
245,40.7621106,-73.9065074,Gr. Larceny,2022-07-07,12PM
246,40.7621612,-73.8950777,Gr. Larceny,2022-10-01,8PM
247,40.7621791,-73.9936155,Robbery,2022-08-30,12AM
248,40.7621902,-73.9936099,Gr. Larceny,2022-09-22,8PM
249,40.7618898,-73.8683199,Burglary,2022-05-21,6AM
250,40.7618603,-73.9634297,Gr. Larceny,2022-06-26,8PM
251,40.7620300,-73.8094099,Gr. Larceny,2022-03-29,11AM
252,40.7620581,-73.8693488,Robbery,2022-09-20,6PM
253,40.7615544,-73.9706370,Gr. Larceny,2022-05-18,12AM
254,40.7616119,-73.9903111,Robbery,2022-09-28,8AM
255,40.7616246,-73.7990971,Robbery,2022-07-18,8PM
256,40.7616216,-73.7252749,G.L.A.,2022-05-06,11AM
257,40.7616498,-73.9708500,Robbery,2022-07-11,8AM
258,40.7616981,-73.9178880,Robbery,2022-09-28,3PM
259,40.7610999,-73.9832599,Gr. Larceny,2022-05-02,12AM
260,40.7609910,-73.8244085,Gr. Larceny,2022-04-07,5PM
261,40.7609403,-73.8327397,Rape,2022-09-05,3PM
262,40.7609169,-73.8633891,Gr. Larceny,2022-04-29,12PM
263,40.7608959,-73.9085953,Gr. Larceny,2022-06-16,5PM
264,40.7608300,-73.8901132,Gr. Larceny,2022-08-26,1PM
265,40.7613690,-73.9354189,Robbery,2022-09-15,4AM
266,40.7613295,-73.8445620,Gr. Larceny,2022-08-27,2AM
267,40.7611301,-73.7889601,Gr. Larceny,2022-01-06,6PM
268,40.7611486,-73.9794984,G.L.A.,2022-02-23,4PM
269,40.7612199,-73.8154797,Rape,2022-02-16,1AM
270,40.7612226,-73.9638820,Gr. Larceny,2022-03-31,4PM
271,40.7609202,-73.8891902,G.L.A.,2022-06-16,10AM
272,40.7612300,-73.9638897,Robbery,2022-09-24,1AM
273,40.7613198,-73.9170898,Gr. Larceny,2022-05-31,3AM
274,40.7579153,-73.9892936,Robbery,2022-08-20,7AM
275,40.7579045,-73.7875712,Gr. Larceny,2022-07-10,12AM
276,40.7578929,-73.8588997,Fel. Assault,2022-09-05,4AM
277,40.7578598,-73.9756002,Robbery,2022-09-24,2AM
278,40.7578202,-73.8609901,Robbery,2022-09-25,6AM
279,40.7579503,-73.8981903,Gr. Larceny,2022-09-26,6PM
280,40.7579503,-73.9855390,Robbery,2022-09-28,10PM
281,40.7579154,-73.9776423,Gr. Larceny,2022-09-30,8PM
282,40.7577699,-73.9734203,Gr. Larceny,2022-04-18,10PM
283,40.7576849,-73.8857567,Gr. Larceny,2022-01-16,1PM
284,40.7576642,-73.7213002,Gr. Larceny,2022-10-02,1PM
285,40.7577002,-73.9694003,Gr. Larceny,2022-05-23,6PM
286,40.7575802,-73.7766702,Burglary,2022-03-17,12AM
287,40.7575198,-73.7647498,Gr. Larceny,2022-09-14,9AM
288,40.7575116,-73.8291440,Robbery,2022-08-07,10PM
289,40.7574682,-73.9027921,Burglary,2022-04-19,12AM
290,40.7574400,-73.8674603,Robbery,2022-04-16,10PM
291,40.7572336,-73.9897821,Fel. Assault,2022-06-29,1AM
292,40.7572301,-73.9760502,Gr. Larceny,2022-09-01,11AM
293,40.7571899,-73.8903999,Gr. Larceny,2022-09-07,11PM
294,40.7571899,-73.9082801,Fel. Assault,2022-09-20,4PM
295,40.7573860,-73.9354556,Gr. Larceny,2022-07-21,3PM
296,40.7573619,-73.9313241,Robbery,2022-09-14,12AM
297,40.7573401,-73.9860099,Gr. Larceny,2022-09-28,4AM
298,40.7573222,-73.7355287,Burglary,2022-04-24,3PM
299,40.7573401,-73.8684802,Robbery,2022-05-19,3PM
300,40.7573261,-73.9450714,Robbery,2022-01-03,4PM
301,40.7570978,-73.7366038,Gr. Larceny,2022-03-11,4PM
302,40.7571001,-73.9150098,Gr. Larceny,2022-08-19,6PM
303,40.7570598,-74.0010698,Robbery,2022-09-17,7PM
304,40.7570070,-73.9261011,G.L.A.,2022-06-20,9PM
305,40.7570699,-73.8560200,Gr. Larceny,2022-06-17,8PM
306,40.7569398,-73.9346302,Burglary,2022-08-13,1AM
307,40.7569304,-73.9346294,Gr. Larceny,2022-06-09,11PM
308,40.7569682,-73.9073681,Fel. Assault,2022-05-07,3AM
309,40.7568701,-73.9443498,Robbery,2022-07-17,3PM
310,40.7568701,-73.8570499,Robbery,2022-08-06,12AM
311,40.7587883,-73.8725531,Gr. Larceny,2022-02-06,5PM
312,40.7588700,-73.8168584,Gr. Larceny,2022-07-31,12AM
313,40.7589803,-73.9939298,Robbery,2022-08-13,2PM
314,40.7589803,-73.8345201,Robbery,2022-09-24,8AM
315,40.7589722,-73.8298295,Gr. Larceny,2022-09-12,4PM
316,40.7589991,-73.8745910,G.L.A.,2022-03-09,11AM
317,40.7593992,-73.9850732,Gr. Larceny,2022-10-02,6PM
318,40.7593547,-73.9198050,Gr. Larceny,2022-09-21,12PM
319,40.7593699,-73.9969499,Gr. Larceny,2022-09-26,7PM
320,40.7593001,-73.9441701,Gr. Larceny,2022-05-10,4PM
321,40.7591576,-73.9391389,Gr. Larceny,2022-09-02,6AM
322,40.7591651,-73.9767466,Robbery,2022-09-29,9AM
323,40.7592352,-73.8860369,Gr. Larceny,2022-09-20,11AM
324,40.7592342,-73.7124508,Gr. Larceny,2022-08-19,8PM
325,40.7585498,-73.9248602,Robbery,2022-08-04,12PM
326,40.7586788,-73.9342632,Burglary,2022-01-31,3PM
327,40.7586787,-73.9424402,G.L.A.,2022-03-28,12AM
328,40.7584347,-73.9926384,Robbery,2022-09-15,2PM
329,40.7583500,-73.9943898,Robbery,2022-09-06,9PM
330,40.7583500,-73.8943997,Gr. Larceny,2022-08-19,10PM
331,40.7582702,-73.8801800,G.L.A.,2022-07-16,10AM
332,40.7583097,-73.8556002,G.L.A.,2022-09-12,11AM
333,40.7582276,-73.9173964,Gr. Larceny,2022-08-08,9AM
334,40.7580313,-73.9817849,Gr. Larceny,2022-09-13,5PM
335,40.7580013,-73.8577262,Robbery,2022-08-05,9PM
336,40.7536300,-73.8859601,Robbery,2022-09-27,8PM
337,40.7536400,-73.9189198,Gr. Larceny,2022-09-04,12PM
338,40.7536940,-73.9030076,Burglary,2022-02-09,8AM
339,40.7535220,-73.9344698,Robbery,2022-09-07,8AM
340,40.7534797,-73.9808802,Robbery,2022-09-18,10AM
341,40.7534717,-73.9808750,Gr. Larceny,2022-09-06,4AM
342,40.7534100,-73.7924100,Gr. Larceny,2022-09-29,6PM
343,40.7533912,-73.9963211,Robbery,2022-09-22,8PM
344,40.7533698,-73.9312499,Burglary,2022-03-11,12PM
345,40.7539840,-73.9424100,Gr. Larceny,2022-02-26,5PM
346,40.7539900,-73.9424200,Gr. Larceny,2022-08-20,3PM
347,40.7539296,-73.8603214,Robbery,2022-07-15,4AM
348,40.7539002,-73.9387199,Gr. Larceny,2022-07-07,12AM
349,40.7541697,-73.9845903,Robbery,2022-09-28,7PM
350,40.7542402,-73.8278501,Robbery,2022-09-23,8AM
351,40.7541429,-73.8679004,Gr. Larceny,2022-09-22,7AM
352,40.7541500,-73.9804033,Gr. Larceny,2022-01-12,4PM
353,40.7543501,-73.8349499,Robbery,2022-02-01,5AM
354,40.7543242,-73.9868664,Robbery,2022-10-01,8AM
355,40.7521098,-73.9776702,Gr. Larceny,2022-07-01,9AM
356,40.7521601,-73.7788501,Gr. Larceny,2022-09-05,12PM
357,40.7521983,-73.9818329,Robbery,2022-09-18,3PM
358,40.7521702,-73.9874998,Robbery,2022-08-19,12AM
359,40.7522180,-73.9994239,Gr. Larceny,2022-02-12,12PM
360,40.7522420,-73.8208548,Robbery,2022-09-04,12AM
361,40.7522570,-73.8166313,Gr. Larceny,2022-01-20,3PM
362,40.7522082,-73.9390837,G.L.A.,2022-03-03,5PM
363,40.7522638,-73.7596259,Robbery,2022-09-30,8PM
364,40.7522801,-73.9896899,Robbery,2022-09-30,1PM
365,40.7525101,-73.8672598,Gr. Larceny,2022-09-01,10AM
366,40.7524397,-73.9961299,Gr. Larceny,2022-06-12,3PM
367,40.7524699,-73.9451002,Gr. Larceny,2022-09-30,5AM
368,40.7524699,-73.8781703,Robbery,2022-09-07,11PM
369,40.7524002,-73.8562500,Robbery,2022-09-23,3PM
370,40.7531950,-73.7656510,Gr. Larceny,2022-09-01,10PM
371,40.7531498,-73.8906097,Robbery,2022-09-04,12AM
372,40.7531700,-73.8219197,Robbery,2022-09-25,7PM
373,40.7532598,-73.8644401,Gr. Larceny,2022-03-20,3AM
374,40.7532596,-73.8644422,Burglary,2022-06-07,6AM
375,40.7532397,-73.8896797,Gr. Larceny,2022-08-24,12AM
376,40.7530097,-73.8653802,Robbery,2022-07-23,4AM
377,40.7530499,-73.8915398,Robbery,2022-09-16,8PM
378,40.7526697,-73.9363997,Gr. Larceny,2022-07-14,6PM
379,40.7527502,-73.7552199,Burglary,2022-09-28,7PM
380,40.7527758,-73.8549847,Gr. Larceny,2022-09-07,11PM
381,40.7528493,-73.9929696,Robbery,2022-09-25,4PM
382,40.7528974,-73.7761542,Burglary,2022-01-31,11PM
383,40.7566897,-73.7855302,Gr. Larceny,2022-01-06,10AM
384,40.7566997,-73.8950803,Gr. Larceny,2022-03-13,6PM
385,40.7566859,-73.9208557,Robbery,2022-07-23,8AM
386,40.7567098,-73.9864598,Robbery,2022-09-25,10AM
387,40.7567518,-73.9671474,Gr. Larceny,2022-09-26,11AM
388,40.7565502,-73.8063897,Gr. Larceny,2022-04-26,3PM
389,40.7565703,-73.9861400,Robbery,2022-10-02,9PM
390,40.7564989,-73.9958785,Gr. Larceny,2022-05-20,5AM
391,40.7564402,-73.9435498,Fel. Assault,2022-06-01,8PM
392,40.7562464,-73.8788529,Robbery,2022-09-10,8PM
393,40.7563202,-73.8035902,Robbery,2022-06-11,11AM
394,40.7564101,-73.7892900,G.L.A.,2022-07-29,7PM
395,40.7561006,-73.8625073,Robbery,2022-09-17,12PM
396,40.7561486,-73.8797873,G.L.A.,2022-04-22,12AM
397,40.7559802,-73.9769601,Burglary,2022-09-16,1PM
398,40.7560198,-73.9016102,Gr. Larceny,2022-09-29,9PM
399,40.7560282,-73.9869627,Gr. Larceny,2022-10-02,12PM
400,40.7559501,-73.9907198,Gr. Larceny,2022-08-06,11PM
401,40.7559763,-73.9769563,Burglary,2022-05-05,4AM
402,40.7558803,-73.9237102,Gr. Larceny,2022-08-14,8PM
403,40.7557999,-73.9864001,Robbery,2022-10-02,4AM
404,40.7557502,-73.9647903,Gr. Larceny,2022-08-17,5PM
405,40.7557284,-73.9043446,G.L.A.,2022-09-30,12PM
406,40.7557100,-73.8662399,Gr. Larceny,2022-08-27,2AM
407,40.7556718,-73.7287071,Gr. Larceny,2022-09-12,1PM
408,40.7547303,-73.7536997,Fel. Assault,2022-07-08,11PM
409,40.7548101,-73.9440199,Robbery,2022-07-22,3AM
410,40.7548727,-73.8239664,Gr. Larceny,2022-09-29,8AM
411,40.7549201,-73.8360402,Robbery,2022-07-23,10AM
412,40.7544954,-73.9657037,G.L.A.,2022-08-23,1PM
413,40.7545472,-73.8660290,Robbery,2022-08-30,10PM
414,40.7545775,-73.8946598,Robbery,2022-09-27,3PM
415,40.7545801,-73.8946599,Gr. Larceny,2022-09-19,2PM
416,40.7545877,-73.9991414,Robbery,2022-09-25,3PM
417,40.7545902,-73.9991400,Robbery,2022-09-30,11AM
418,40.7546773,-73.9953615,Gr. Larceny,2022-09-25,10AM
419,40.7547016,-73.9257672,Robbery,2022-07-05,8AM
